Feature,Importance
rolling_mean_24h,0.40673593
lag_24_ride_count,0.33500046
lag_1_ride_count,0.047510892
rolling_mean_3h,0.024459204
is_downtown,0.020778043
is_rush_hour,0.019118883
hour_of_day,0.018742314
day_of_week,0.017056586
lag_3_ride_count,0.015127358
lag_12_ride_count,0.014862649
lag_6_ride_count,0.013332822
is_holiday,0.012452267
temperature,0.011014473
lag_2_ride_count,0.010770942
day_of_month,0.0075994143
cloud_cover_numeric,0.0067385957
amount_of_precipitation,0.0065123886
humidity,0.0063043404
wind_speed,0.0058824304
is_weekend,0.0
